icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z
-1.2138603,7.007828,7.6081743,-20.643751,7.8562503,-23.71875,-0.10865377,-0.7543181,-0.020505736
0.55365914,7.3430166,10.90918,-21.5625,10.03125,-23.475,-0.8362079,-0.055525273,-0.101463445
1.6077064,7.285556,11.45027,-22.237501,11.0625,-22.9125,-0.406919,0.024367206,-0.94406277
-0.4997896,4.458602,11.426328,-21.45,10.33125,-24.806252,0.54326886,0.17669553,-0.56483984
-1.1563994,4.2239704,4.158728,-19.181252,7.2187505,-23.53125,1.8737448,-0.15352671,-0.2580527
-0.38486794,5.4791307,2.678513,-18.712502,5.0437503,-21.712502,0.7872072,-1.1729547,-0.07057169
1.0283096,4.2622776,6.649895,-21.0375,4.425,-21.0,-0.30465665,-0.4113131,-0.56910074
-1.5059528,5.105635,5.4617724,-20.962502,5.30625,-22.2,-0.18641578,0.31411058,-0.26657456
-0.41359833,5.728726,5.504868,-21.075,4.7250004,-21.300001,0.12995844,-0.70851314,-0.22822617
-0.82121116,6.681618,6.956353,-20.4375,1.85625,-21.993752,-0.051131185,-0.30052885,-0.26977026
-1.2617443,8.109759,8.662222,-21.75,2.2125,-22.7625,0.030891757,-0.106656455,-0.20798674
-2.2822728,8.315661,10.976217,-21.0375,1.5937501,-21.112501,-0.1288932,0.15539087,-0.011983871
-1.0271125,8.377911,10.55005,-22.087502,2.9250002,-21.73125,0.25032976,0.3279586,0.3439371
1.9387048,6.3033347,11.287464,-20.306252,2.0062501,-23.325,0.1033276,-0.47096616,-0.05033226
0.11791443,4.219182,7.4549456,-22.10625,2.68125,-24.243752,0.8063814,0.7742913,-0.12170287
-0.13108255,5.5030727,3.506907,-20.38125,0.0375,-24.187502,0.23967743,-0.19933173,-0.30811864
0.38606504,4.6603136,6.884527,-19.21875,-0.45000002,-23.41875,-0.3643097,-0.3953346,-0.28148782
0.7457938,5.21098,7.0090256,-18.112501,-0.24375,-22.800001,0.2897434,0.074433155,-0.31344482
-0.43275195,5.9681463,4.7524905,-19.21875,-0.73125005,-23.85,0.361114,-0.22383209,-0.29853156
0.3429694,6.849811,5.701193,-20.081251,-1.9875001,-22.81875,0.40265808,-0.25365862,-0.4316857
-0.24121583,8.033145,7.8475947,-19.78125,-1.9875001,-23.550001,-0.028761292,-0.6179683,-0.6457975
1.4975731,7.8703394,11.368867,-19.06875,-3.3000002,-23.8125,-0.07882725,-1.2677604,-0.79173446
